id,brand,model,year,status
1,Honda,Volver,2022,rented
2,Ford,Serán,2019,rented
3,Chevrolet,Análisis,2017,rented
4,Volkswagen,Grandes,2018,available
5,Kia,México,2020,unavailable
6,Kia,Incluso,2016,available
7,Hyundai,Duda,2016,maintenance
8,Nissan,Busca,2017,available
9,Kia,Cosa,2018,rented
10,Toyota,Punto,2024,rented
11,Chevrolet,Materia,2020,available
12,Mazda,Toma,2021,maintenance
13,BMW,Sur,2020,unavailable
14,Ford,Gobierno,2015,available
15,Volkswagen,Dicho,2017,maintenance
16,Toyota,Con,2017,rented
17,Ford,Objetivo,2022,maintenance
18,Chevrolet,Afirmó,2020,available
19,Mazda,Aun,2023,maintenance
20,Nissan,Todo,2018,unavailable
21,Kia,Tuvo,2021,unavailable
22,Ford,Propios,2023,unavailable
23,Volkswagen,Electoral,2024,maintenance
24,Ford,Valores,2016,unavailable
25,Hyundai,Nunca,2020,available
26,Toyota,Veces,2022,maintenance
27,Ford,Estilo,2017,rented
28,Chevrolet,Diferencia,2019,rented
29,BMW,Meses,2020,available
30,Nissan,Qué,2021,unavailable
31,Honda,Movimiento,2022,available
32,Kia,Producto,2024,available
33,Nissan,Manos,2018,rented
34,Honda,Dos,2023,rented
35,Ford,Suerte,2022,available
36,Honda,Mí,2016,rented
37,Chevrolet,Cierta,2021,maintenance
38,Volkswagen,Teoría,2019,available
39,Mazda,Control,2019,available
40,Ford,Pablo,2023,rented
41,Kia,Medidas,2020,available
42,BMW,No,2020,available
43,Ford,Mayores,2018,unavailable
44,Nissan,Primera,2017,maintenance
45,Toyota,Mujeres,2021,rented
46,Chevrolet,Realidad,2023,rented
47,Toyota,Pueda,2015,unavailable
48,BMW,Nuestras,2015,unavailable
49,Volkswagen,Española,2020,available
50,Mazda,Francia,2019,maintenance
51,Toyota,Sabía,2024,rented
52,Chevrolet,Nada,2016,rented
53,Honda,Pero,2020,available
54,BMW,Iba,2021,maintenance
55,Toyota,Hecho,2016,unavailable
56,Ford,Porque,2019,available
57,Nissan,Y,2015,maintenance
58,Mazda,Siguiente,2021,unavailable
59,Chevrolet,Proyectos,2023,available
60,BMW,Santiago,2017,maintenance
61,Ford,Busca,2016,maintenance
62,Toyota,Dejar,2021,available
63,Toyota,Solución,2019,unavailable
64,BMW,Asociación,2015,available
65,Hyundai,Causa,2023,rented
66,Kia,Cualquier,2018,maintenance
67,Volkswagen,Cómo,2023,unavailable
68,Hyundai,Cuya,2024,unavailable
69,Volkswagen,Quiere,2018,maintenance
70,Hyundai,Resulta,2023,available
71,Mazda,Teatro,2019,maintenance
72,Kia,Campo,2019,available
73,BMW,Mundo,2017,rented
74,Chevrolet,Mar,2019,unavailable
75,Hyundai,Muerte,2016,rented
76,Mazda,Tres,2020,rented
77,Honda,Todo,2019,maintenance
78,BMW,Vista,2015,maintenance
79,Mazda,Fútbol,2024,available
80,Chevrolet,Prensa,2016,available
81,Mazda,Tuvo,2018,unavailable
82,Kia,Fuego,2022,available
83,Honda,Tipo,2017,maintenance
84,Kia,Primer,2019,available
85,Toyota,Debía,2018,rented
86,Volkswagen,Partido,2015,unavailable
87,Volkswagen,Viaje,2016,available
88,Honda,Sala,2021,unavailable
89,Nissan,Sobre,2017,rented
90,Mazda,Actividades,2023,available
91,BMW,Ningún,2023,rented
92,Nissan,Europea,2017,rented
93,Chevrolet,Argentina,2019,unavailable
94,Mazda,Capacidad,2018,rented
95,BMW,Psoe,2023,rented
96,Chevrolet,Tú,2015,maintenance
97,Nissan,Somos,2022,available
98,Toyota,Tarde,2023,unavailable
99,Toyota,Cosa,2019,available
100,Kia,Boca,2016,available
